# ITO - d=165.00nm, RMS=0.089128
# λ(nm)  T_exp  T_calc  Residual
4.000000e+02 8.404000e-01 8.422627e-01 1.862716e-03
4.010000e+02 8.379000e-01 8.375736e-01 -3.264243e-04
4.020000e+02 8.353000e-01 8.333086e-01 -1.991413e-03
4.030000e+02 8.328000e-01 8.294653e-01 -3.334684e-03
4.040000e+02 8.304000e-01 8.260359e-01 -4.364119e-03
4.050000e+02 8.279000e-01 8.230077e-01 -4.892302e-03
4.060000e+02 8.255000e-01 8.203642e-01 -5.135817e-03
4.070000e+02 8.231000e-01 8.180854e-01 -5.014600e-03
4.080000e+02 8.208000e-01 8.161487e-01 -4.651345e-03
4.090000e+02 8.185000e-01 8.145290e-01 -3.970954e-03
4.100000e+02 8.163000e-01 8.132000e-01 -3.100044e-03
4.110000e+02 8.140000e-01 8.121335e-01 -1.866499e-03
4.120000e+02 8.118000e-01 8.113009e-01 -4.990666e-04
4.130000e+02 8.097000e-01 8.106730e-01 9.730017e-04
4.140000e+02 8.076000e-01 8.102203e-01 2.620271e-03
4.150000e+02 8.055000e-01 8.099134e-01 4.413405e-03
4.160000e+02 8.035000e-01 8.097234e-01 6.223412e-03
4.170000e+02 8.015000e-01 8.096219e-01 8.121860e-03
4.180000e+02 7.996000e-01 8.095811e-01 9.981057e-03
4.190000e+02 7.976000e-01 8.095742e-01 1.197421e-02
4.200000e+02 7.958000e-01 8.095755e-01 1.377553e-02
4.210000e+02 7.940000e-01 8.095604e-01 1.556037e-02
4.220000e+02 7.922000e-01 8.095053e-01 1.730529e-02
4.230000e+02 7.905000e-01 8.093881e-01 1.888811e-02
4.240000e+02 7.888000e-01 8.091880e-01 2.038799e-02
4.250000e+02 7.872000e-01 8.088855e-01 2.168545e-02
4.260000e+02 7.856000e-01 8.084759e-01 2.287590e-02
4.270000e+02 7.840000e-01 8.079678e-01 2.396784e-02
4.280000e+02 7.826000e-01 8.073641e-01 2.476415e-02
4.290000e+02 7.811000e-01 8.066695e-01 2.556954e-02
4.300000e+02 7.797000e-01 8.058903e-01 2.619030e-02
4.310000e+02 7.784000e-01 8.050340e-01 2.663401e-02
4.320000e+02 7.771000e-01 8.041093e-01 2.700933e-02
4.330000e+02 7.759000e-01 8.031258e-01 2.722581e-02
4.340000e+02 7.747000e-01 8.020937e-01 2.739374e-02
4.350000e+02 7.737000e-01 8.010240e-01 2.732399e-02
4.360000e+02 7.726000e-01 7.999280e-01 2.732799e-02
4.370000e+02 7.716000e-01 7.988176e-01 2.721757e-02
4.380000e+02 7.707000e-01 7.977050e-01 2.700496e-02
4.390000e+02 7.698000e-01 7.966028e-01 2.680277e-02
4.400000e+02 7.690000e-01 7.955239e-01 2.652394e-02
4.410000e+02 7.683000e-01 7.944818e-01 2.618183e-02
4.420000e+02 7.676000e-01 7.934902e-01 2.589018e-02
4.430000e+02 7.670000e-01 7.925633e-01 2.556326e-02
4.440000e+02 7.664000e-01 7.917159e-01 2.531585e-02
4.450000e+02 7.659000e-01 7.909634e-01 2.506344e-02
4.460000e+02 7.654000e-01 7.903223e-01 2.492227e-02
4.470000e+02 7.650000e-01 7.898095e-01 2.480950e-02
4.480000e+02 7.647000e-01 7.894433e-01 2.474333e-02
4.490000e+02 7.643000e-01 7.892431e-01 2.494314e-02
4.500000e+02 7.641000e-01 7.892296e-01 2.512965e-02
4.510000e+02 7.638000e-01 7.893465e-01 2.554645e-02
4.520000e+02 7.637000e-01 7.895221e-01 2.582215e-02
4.530000e+02 7.636000e-01 7.897559e-01 2.615592e-02
4.540000e+02 7.635000e-01 7.900468e-01 2.654680e-02
4.550000e+02 7.634000e-01 7.903937e-01 2.699371e-02
4.560000e+02 7.634000e-01 7.907954e-01 2.739539e-02
4.570000e+02 7.635000e-01 7.912504e-01 2.775045e-02
4.580000e+02 7.636000e-01 7.917574e-01 2.815735e-02
4.590000e+02 7.638000e-01 7.923144e-01 2.851443e-02
4.600000e+02 7.639000e-01 7.929199e-01 2.901987e-02
4.610000e+02 7.642000e-01 7.935717e-01 2.937172e-02
4.620000e+02 7.644000e-01 7.942679e-01 2.986792e-02
4.630000e+02 7.647000e-01 7.950063e-01 3.030625e-02
4.640000e+02 7.650000e-01 7.957844e-01 3.078441e-02
4.650000e+02 7.653000e-01 7.966000e-01 3.129995e-02
4.660000e+02 7.657000e-01 7.974503e-01 3.175034e-02
4.670000e+02 7.662000e-01 7.983329e-01 3.213294e-02
4.680000e+02 7.666000e-01 7.992450e-01 3.264499e-02
4.690000e+02 7.671000e-01 8.001837e-01 3.308369e-02
4.700000e+02 7.676000e-01 8.011461e-01 3.354612e-02
4.710000e+02 7.682000e-01 8.021293e-01 3.392930e-02
4.720000e+02 7.688000e-01 8.031302e-01 3.433018e-02
4.730000e+02 7.694000e-01 8.041457e-01 3.474566e-02
4.740000e+02 7.700000e-01 8.051726e-01 3.517258e-02
4.750000e+02 7.707000e-01 8.062077e-01 3.550775e-02
4.760000e+02 7.714000e-01 8.072609e-01 3.586093e-02
4.770000e+02 7.722000e-01 8.083433e-01 3.614330e-02
4.780000e+02 7.729000e-01 8.094537e-01 3.655370e-02
4.790000e+02 7.737000e-01 8.105910e-01 3.689096e-02
4.800000e+02 7.745000e-01 8.117539e-01 3.725386e-02
4.810000e+02 7.753000e-01 8.129412e-01 3.764118e-02
4.820000e+02 7.762000e-01 8.141517e-01 3.795168e-02
4.830000e+02 7.771000e-01 8.153841e-01 3.828407e-02
4.840000e+02 7.780000e-01 8.166371e-01 3.863708e-02
4.850000e+02 7.789000e-01 8.179094e-01 3.900940e-02
4.860000e+02 7.798000e-01 8.191997e-01 3.939972e-02
4.870000e+02 7.808000e-01 8.205067e-01 3.970672e-02
4.880000e+02 7.817000e-01 8.218291e-01 4.012906e-02
4.890000e+02 7.827000e-01 8.231654e-01 4.046541e-02
4.900000e+02 7.838000e-01 8.245144e-01 4.071441e-02
4.910000e+02 7.848000e-01 8.258747e-01 4.107474e-02
4.920000e+02 7.859000e-01 8.272450e-01 4.134502e-02
4.930000e+02 7.869000e-01 8.286239e-01 4.172393e-02
4.940000e+02 7.880000e-01 8.300101e-01 4.201012e-02
4.950000e+02 7.891000e-01 8.314023e-01 4.230226e-02
4.960000e+02 7.902000e-01 8.327990e-01 4.259902e-02
4.970000e+02 7.913000e-01 8.341991e-01 4.289907e-02
4.980000e+02 7.924000e-01 8.356011e-01 4.320112e-02
4.990000e+02 7.936000e-01 8.370039e-01 4.340387e-02
5.000000e+02 7.947000e-01 8.384060e-01 4.370604e-02
5.010000e+02 7.959000e-01 8.398146e-01 4.391463e-02
5.020000e+02 7.971000e-01 8.412368e-01 4.413683e-02
5.030000e+02 7.983000e-01 8.426717e-01 4.437167e-02
5.040000e+02 7.995000e-01 8.441181e-01 4.461815e-02
5.050000e+02 8.007000e-01 8.455753e-01 4.487529e-02
5.060000e+02 8.019000e-01 8.470421e-01 4.514211e-02
5.070000e+02 8.031000e-01 8.485176e-01 4.541763e-02
5.080000e+02 8.043000e-01 8.500009e-01 4.570087e-02
5.090000e+02 8.055000e-01 8.514908e-01 4.599084e-02
5.100000e+02 8.068000e-01 8.529866e-01 4.618659e-02
5.110000e+02 8.080000e-01 8.544871e-01 4.648715e-02
5.120000e+02 8.093000e-01 8.559916e-01 4.669156e-02
5.130000e+02 8.105000e-01 8.574989e-01 4.699887e-02
5.140000e+02 8.117000e-01 8.590082e-01 4.730816e-02
5.150000e+02 8.130000e-01 8.605185e-01 4.751848e-02
5.160000e+02 8.142000e-01 8.620289e-01 4.782894e-02
5.170000e+02 8.155000e-01 8.635386e-01 4.803863e-02
5.180000e+02 8.167000e-01 8.650467e-01 4.834666e-02
5.190000e+02 8.180000e-01 8.665522e-01 4.855216e-02
5.200000e+02 8.192000e-01 8.680543e-01 4.885427e-02
5.210000e+02 8.204000e-01 8.695522e-01 4.915216e-02
5.220000e+02 8.217000e-01 8.710450e-01 4.934501e-02
5.230000e+02 8.229000e-01 8.725320e-01 4.963200e-02
5.240000e+02 8.242000e-01 8.740124e-01 4.981236e-02
5.250000e+02 8.254000e-01 8.754853e-01 5.008533e-02
5.260000e+02 8.266000e-01 8.769501e-01 5.035015e-02
5.270000e+02 8.279000e-01 8.784061e-01 5.050610e-02
5.280000e+02 8.291000e-01 8.798525e-01 5.075249e-02
5.290000e+02 8.303000e-01 8.812886e-01 5.098864e-02
5.300000e+02 8.315000e-01 8.827139e-01 5.121388e-02
5.310000e+02 8.327000e-01 8.841276e-01 5.142759e-02
5.320000e+02 8.339000e-01 8.855292e-01 5.162916e-02
5.330000e+02 8.351000e-01 8.869180e-01 5.181799e-02
5.340000e+02 8.363000e-01 8.882935e-01 5.199353e-02
5.350000e+02 8.375000e-01 8.896552e-01 5.215523e-02
5.360000e+02 8.387000e-01 8.910026e-01 5.230259e-02
5.370000e+02 8.399000e-01 8.923351e-01 5.243511e-02
5.380000e+02 8.410000e-01 8.936523e-01 5.265233e-02
5.390000e+02 8.422000e-01 8.949538e-01 5.275380e-02
5.400000e+02 8.433000e-01 8.962391e-01 5.293910e-02
5.410000e+02 8.445000e-01 8.975079e-01 5.300785e-02
5.420000e+02 8.456000e-01 8.987597e-01 5.315967e-02
5.430000e+02 8.467000e-01 8.999942e-01 5.329422e-02
5.440000e+02 8.477000e-01 9.012112e-01 5.351117e-02
5.450000e+02 8.488000e-01 9.024102e-01 5.361023e-02
5.460000e+02 8.499000e-01 9.035911e-01 5.369111e-02
5.470000e+02 8.510000e-01 9.047536e-01 5.375356e-02
5.480000e+02 8.520000e-01 9.058974e-01 5.389735e-02
5.490000e+02 8.531000e-01 9.070223e-01 5.392227e-02
5.500000e+02 8.541000e-01 9.081281e-01 5.402812e-02
5.510000e+02 8.551000e-01 9.092240e-01 5.412403e-02
5.520000e+02 8.561000e-01 9.103190e-01 5.421905e-02
5.530000e+02 8.571000e-01 9.114129e-01 5.431288e-02
5.540000e+02 8.581000e-01 9.125053e-01 5.440525e-02
5.550000e+02 8.591000e-01 9.135959e-01 5.449587e-02
5.560000e+02 8.600000e-01 9.146845e-01 5.468445e-02
5.570000e+02 8.609000e-01 9.157707e-01 5.487073e-02
5.580000e+02 8.619000e-01 9.168544e-01 5.495443e-02
5.590000e+02 8.628000e-01 9.179353e-01 5.513529e-02
5.600000e+02 8.637000e-01 9.190130e-01 5.531303e-02
5.610000e+02 8.645000e-01 9.200874e-01 5.558741e-02
5.620000e+02 8.654000e-01 9.211582e-01 5.575815e-02
5.630000e+02 8.662000e-01 9.222250e-01 5.602502e-02
5.640000e+02 8.670000e-01 9.232877e-01 5.628775e-02
5.650000e+02 8.678000e-01 9.243461e-01 5.654610e-02
5.660000e+02 8.686000e-01 9.253998e-01 5.679984e-02
5.670000e+02 8.694000e-01 9.264487e-01 5.704871e-02
5.680000e+02 8.702000e-01 9.274925e-01 5.729249e-02
5.690000e+02 8.709000e-01 9.285310e-01 5.763095e-02
5.700000e+02 8.717000e-01 9.295639e-01 5.786386e-02
5.710000e+02 8.724000e-01 9.305910e-01 5.819098e-02
5.720000e+02 8.731000e-01 9.316121e-01 5.851212e-02
5.730000e+02 8.737000e-01 9.326270e-01 5.892704e-02
5.740000e+02 8.744000e-01 9.336355e-01 5.923553e-02
5.750000e+02 8.750000e-01 9.346374e-01 5.963739e-02
5.760000e+02 8.756000e-01 9.356324e-01 6.003241e-02
