ESTIMATED THICKNESSES

Thickness of film 1 = 160.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 300.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
3.00000000000000000000e+02 3.38761151132730375934e+00 3.32061035190903297565e-01
3.06976744186046516916e+02 3.24015068412289508615e+00 2.66841604798496945250e-01
3.13953488372093033831e+02 3.09268985701211196471e+00 2.01622174406090592935e-01
3.20930232558139550747e+02 2.94522902990132884327e+00 1.36402744013684268376e-01
3.27906976744186067663e+02 2.79776820279054572183e+00 7.11833136212779299390e-02
3.34883720930232584578e+02 2.65030737567976260038e+00 5.96388322887160017560e-03
3.41860465116279101494e+02 2.50284654856897947894e+00 5.96388322887160017560e-03
3.48837209302325561566e+02 2.47140335657486609477e+00 5.96388322887160017560e-03
3.55813953488372078482e+02 2.43996016458075271061e+00 5.96388322887160017560e-03
3.62790697674418595398e+02 2.40851697258663932644e+00 5.96388322887160017560e-03
3.69767441860465112313e+02 2.37707378059252594227e+00 5.96388322887160017560e-03
3.76744186046511629229e+02 2.34563058859841255810e+00 5.96388322887160017560e-03
3.83720930232558146145e+02 2.31418739660429917393e+00 5.96388322887160017560e-03
3.90697674418604663060e+02 2.28274420461018578976e+00 5.96388322887160017560e-03
3.97674418604651179976e+02 2.25130101261607240559e+00 5.96388322887160017560e-03
4.04651162790697640048e+02 2.21985782062195902142e+00 5.96388322887160017560e-03
4.11627906976744156964e+02 2.18841462862784563725e+00 5.96388322887160017560e-03
4.18604651162790673879e+02 2.15697143663373225309e+00 5.96388322887160017560e-03
4.25581395348837190795e+02 2.12552824463961886892e+00 5.96388322887160017560e-03
4.32558139534883707711e+02 2.09408505264550548475e+00 5.96388322887160017560e-03
4.39534883720930224626e+02 2.06264186065139210058e+00 5.96388322887160017560e-03
4.46511627906976741542e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
4.53488372093023258458e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
4.60465116279069775374e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
4.67441860465116292289e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
4.74418604651162809205e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
4.81395348837209326121e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
4.88372093023255843036e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
4.95348837209302359952e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.02325581395348876868e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.09302325581395336940e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.16279069767441797012e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.23255813953488313928e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.30232558139534830843e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.37209302325581347759e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.44186046511627864675e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.51162790697674381590e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.58139534883720898506e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.65116279069767415422e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.72093023255813932337e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.79069767441860449253e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.86046511627906966169e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
5.93023255813953483084e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.00000000000000000000e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.06976744186046516916e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.13953488372093033831e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.20930232558139550747e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.27906976744186067663e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.34883720930232584578e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.41860465116279101494e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.48837209302325618410e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.55813953488372135325e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.62790697674418652241e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.69767441860465169157e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.76744186046511686072e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.83720930232558202988e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.90697674418604719904e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
6.97674418604651236819e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.04651162790697753735e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.11627906976744156964e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.18604651162790673879e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.25581395348837190795e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.32558139534883707711e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.39534883720930224626e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.46511627906976741542e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.53488372093023258458e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.60465116279069775374e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.67441860465116292289e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.74418604651162809205e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.81395348837209326121e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
7.88372093023255729349e+02 2.03119866865727871641e+00 5.96388322887160017560e-03
