ESTIMATED THICKNESSES

Thickness of film 1 = 166.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 280.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
2.85000000000000000000e+02 2.62220832061072517405e+00 7.90339629587876180139e-01
2.89429347826086939222e+02 2.60506846811772874162e+00 6.93626789616413663708e-01
2.93858695652173935287e+02 2.58792861562473230919e+00 5.96913949644951369322e-01
2.98288043478260874508e+02 2.57078876313173587675e+00 5.00201109673489074936e-01
3.02717391304347813730e+02 2.55364891063874033250e+00 4.03488269704829982665e-01
3.07146739130434752951e+02 2.53650905814574478825e+00 3.06775429736170890394e-01
3.11576086956521749016e+02 2.51936920565274924400e+00 2.10062589767511798122e-01
3.16005434782608688238e+02 2.50222935315975369974e+00 1.70348692437792770260e-01
3.20434782608695627459e+02 2.48508950066676614910e+00 1.30634795108073742398e-01
3.24864130434782623524e+02 2.46794964817377859845e+00 9.09208977783547145357e-02
3.29293478260869562746e+02 2.45080979568079104780e+00 5.12070004486357005513e-02
3.33722826086956501968e+02 2.43366994318780349715e+00 3.58161998359279518112e-02
3.38152173913043498032e+02 2.41653009069482660465e+00 2.04253992232202030710e-02
3.42581521739130437254e+02 2.39939023820184971214e+00 1.45955807042173375809e-02
3.47010869565217376476e+02 2.38225038570887281963e+00 8.76576218521447209087e-03
3.51440217391304372541e+02 2.36511053321589592713e+00 8.76576218521447209087e-03
3.55869565217391311762e+02 2.34797068072291903462e+00 8.76576218521447209087e-03
3.60298913043478250984e+02 2.33083082822994214212e+00 8.76576218521447209087e-03
3.64728260869565190205e+02 2.31369097573696524961e+00 8.76576218521447209087e-03
3.69157608695652186270e+02 2.29655112324398835710e+00 8.76576218521447209087e-03
3.73586956521739125492e+02 2.27941127075101146460e+00 8.76576218521447209087e-03
3.78016304347826064713e+02 2.26227141825803457209e+00 8.76576218521447209087e-03
3.82445652173913003935e+02 2.24513156576505767958e+00 8.76576218521447209087e-03
3.86875000000000000000e+02 2.22799171327208078708e+00 8.76576218521447209087e-03
3.91304347826086939222e+02 2.21085186077910389457e+00 8.76576218521447209087e-03
3.95733695652173878443e+02 2.19371200828612700207e+00 8.76576218521447209087e-03
4.00163043478260874508e+02 2.17657215579315010956e+00 8.76576218521447209087e-03
4.04592391304347813730e+02 2.15943230330017321705e+00 8.76576218521447209087e-03
4.09021739130434752951e+02 2.14229245080719632455e+00 8.76576218521447209087e-03
4.13451086956521749016e+02 2.12515259831421943204e+00 8.76576218521447209087e-03
4.17880434782608688238e+02 2.10801274582124253953e+00 8.76576218521447209087e-03
4.22309782608695627459e+02 2.09087289332826564703e+00 8.76576218521447209087e-03
4.26739130434782623524e+02 2.07373304083528875452e+00 8.76576218521447209087e-03
4.31168478260869562746e+02 2.05659318834231186202e+00 8.76576218521447209087e-03
4.35597826086956501968e+02 2.03945333584933496951e+00 8.76576218521447209087e-03
4.40027173913043498032e+02 2.02231348335635807700e+00 8.76576218521447209087e-03
4.44456521739130380411e+02 2.00517363086338118450e+00 8.76576218521447209087e-03
4.48885869565217376476e+02 1.98803377837040406995e+00 8.76576218521447209087e-03
4.53315217391304372541e+02 1.97089392587742673335e+00 8.76576218521447209087e-03
4.57744565217391254919e+02 1.96936400699009239723e+00 8.76576218521447209087e-03
4.62173913043478250984e+02 1.96783408810275806111e+00 8.76576218521447209087e-03
4.66603260869565190205e+02 1.96630416921542372499e+00 8.76576218521447209087e-03
4.71032608695652129427e+02 1.96477425032808938887e+00 8.76576218521447209087e-03
4.75461956521739125492e+02 1.96324433144075505275e+00 8.76576218521447209087e-03
4.79891304347826064713e+02 1.96171441255342071663e+00 8.76576218521447209087e-03
4.84320652173913003935e+02 1.96018449366608638051e+00 8.76576218521447209087e-03
4.88750000000000000000e+02 1.95865457477875204439e+00 8.76576218521447209087e-03
4.93179347826086939222e+02 1.95712465589141770828e+00 8.76576218521447209087e-03
4.97608695652173878443e+02 1.95559473700408337216e+00 8.76576218521447209087e-03
5.02038043478260874508e+02 1.95406481811674903604e+00 8.76576218521447209087e-03
5.06467391304347813730e+02 1.95253489922941469992e+00 8.76576218521447209087e-03
5.10896739130434752951e+02 1.95100498034208036380e+00 8.76576218521447209087e-03
5.15326086956521749016e+02 1.94947506145474602768e+00 8.76576218521447209087e-03
5.19755434782608631394e+02 1.94794514256741169156e+00 8.76576218521447209087e-03
5.24184782608695627459e+02 1.94641522368007735544e+00 8.76576218521447209087e-03
5.28614130434782623524e+02 1.94488530479274301932e+00 8.76576218521447209087e-03
5.33043478260869505903e+02 1.94335538590541179182e+00 8.76576218521447209087e-03
5.37472826086956501968e+02 1.94182546701808056433e+00 8.76576218521447209087e-03
5.41902173913043498032e+02 1.94029554813074933683e+00 8.76576218521447209087e-03
5.46331521739130494097e+02 1.93876562924341810934e+00 8.76576218521447209087e-03
5.50760869565217376476e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
5.55190217391304258854e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
5.59619565217391254919e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
5.64048913043478250984e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
5.68478260869565247049e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
5.72907608695652129427e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
5.77336956521739125492e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
5.81766304347826007870e+02 1.93723571035608688184e+00 8.76576218521447209087e-03
