ESTIMATED THICKNESSES

Thickness of film 1 = 160.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 845.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.00000000000000000000e+02 2.11287466479188568158e+00 -1.59572102573250773627e-02
4.03351955307262585393e+02 2.11092686286252373407e+00 -1.53163967499310021969e-02
4.06703910614525113942e+02 2.10897906093316178655e+00 -1.46755832425369287658e-02
4.10055865921787699335e+02 2.10703125900379983904e+00 -1.40347697351428553347e-02
4.13407821229050284728e+02 2.10508345707443789152e+00 -1.33939562277487819036e-02
4.16759776536312870121e+02 2.10313565514507594401e+00 -1.27531427203547084726e-02
4.20111731843575398671e+02 2.10118785321571399649e+00 -1.21123292129606350415e-02
4.23463687150837984063e+02 2.09924005128635204898e+00 -1.14715157055665616104e-02
4.26815642458100569456e+02 2.09729224935699010146e+00 -1.08307021981724881793e-02
4.30167597765363154849e+02 2.09534444742762815395e+00 -1.01898886907784147482e-02
4.33519553072625683399e+02 2.09339664549826620643e+00 -9.54907518338434131711e-03
4.36871508379888268792e+02 2.09144884356890425892e+00 -8.90826167599026788602e-03
4.40223463687150854184e+02 2.08950104163954231140e+00 -8.26744816859619445493e-03
4.43575418994413439577e+02 2.08755323971018036389e+00 -7.62663466120212102384e-03
4.46927374301675968127e+02 2.08560543778081841637e+00 -6.98582115380804759275e-03
4.50279329608938553520e+02 2.08365763585145646886e+00 -6.34500764641397416166e-03
4.53631284916201138913e+02 2.08170983392209452134e+00 -5.70419413901990073057e-03
4.56983240223463667462e+02 2.07976203199273257383e+00 -5.06338063162582729948e-03
4.60335195530726252855e+02 2.07781423006337062631e+00 -4.42256712423175386839e-03
4.63687150837988838248e+02 2.07586642813400867880e+00 -3.78175361683768087098e-03
4.67039106145251366797e+02 2.07391862620464673128e+00 -3.32407066810405139867e-03
4.70391061452513952190e+02 2.07197082427528478377e+00 -2.86638771937042192636e-03
4.73743016759776537583e+02 2.07002302234592283625e+00 -2.40870477063679245405e-03
4.77094972067039122976e+02 2.06807522041656088874e+00 -1.95102182190316298174e-03
4.80446927374301708369e+02 2.06612741848719894122e+00 -1.49333887316953350943e-03
4.83798882681564236918e+02 2.06417961655783699371e+00 -1.08104976743301681684e-03
4.87150837988826822311e+02 2.06223181462847504619e+00 -6.68760661696500015826e-04
4.90502793296089407704e+02 2.06028401269911309868e+00 -3.68857470766042843096e-04
4.93854748603351936254e+02 2.05833621076975115116e+00 -6.89542798355856703663e-05
4.97206703910614521646e+02 2.05638840884038920365e+00 1.80267626120929639819e-04
5.00558659217877107039e+02 2.05444060691102725613e+00 4.29489532077444950003e-04
5.03910614525139635589e+02 2.05249280498166530862e+00 6.78711438033960260188e-04
5.07262569832402220982e+02 2.05054500305230336110e+00 9.27933343990475570373e-04
5.10614525139664806375e+02 2.04859720112294141359e+00 1.15984682273549688514e-03
5.13966480446927334924e+02 2.04664939919357946607e+00 1.39176030148051819990e-03
5.17318435754189977160e+02 2.04470159726421751856e+00 1.62367378022553951467e-03
5.20670391061452505710e+02 2.04275379533485557104e+00 1.85558725897056082943e-03
5.24022346368715034259e+02 2.04080599340549362353e+00 2.08750073771558214419e-03
5.27374301675977676496e+02 2.03885819147613167601e+00 2.31941421646060345896e-03
5.30726256983240205045e+02 2.03691038954676972850e+00 2.55132769520562477372e-03
5.34078212290502733595e+02 2.03496258761740778098e+00 2.78324117395064608849e-03
5.37430167597765375831e+02 2.03301478568804583347e+00 3.01515465269566740325e-03
5.40782122905027904380e+02 2.03106698375868388595e+00 3.24706813144068871801e-03
5.44134078212290432930e+02 2.02911918182932193844e+00 3.47898161018571003278e-03
5.47486033519553075166e+02 2.02717137989995999092e+00 3.71089508893073134754e-03
5.50837988826815603716e+02 2.02522357797059804341e+00 3.94280856767575266231e-03
5.54189944134078245952e+02 2.02327577604123609589e+00 4.17472204642077397707e-03
5.57541899441340774501e+02 2.02132797411187414838e+00 4.40663552516579529184e-03
5.60893854748603416738e+02 2.01938017218251220086e+00 4.63854900391081660660e-03
5.64245810055865945287e+02 2.01743237025315025335e+00 4.87046248265583792136e-03
5.67597765363128473837e+02 2.01548456832378830583e+00 5.10237596140085923613e-03
5.70949720670391116073e+02 2.01353676639442635832e+00 5.33428944014588055089e-03
5.74301675977653644622e+02 2.01158896446506441080e+00 5.56620291889090186566e-03
5.77653631284916173172e+02 2.00964116253570246329e+00 5.79811639763592318042e-03
5.81005586592178815408e+02 2.00769336060634051577e+00 6.03002987638094449518e-03
5.84357541899441343958e+02 2.00574555867697856826e+00 6.26194335512596580995e-03
5.87709497206703872507e+02 2.00379775674761662074e+00 6.49385683387098712471e-03
5.91061452513966514744e+02 2.00184995481825467323e+00 6.72577031261600843948e-03
5.94413407821229043293e+02 1.99990215288889272571e+00 6.95768379136102975424e-03
