ESTIMATED THICKNESSES NOBS=195
Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 850.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.00000000000000000000e+02 2.01057889010516888106e+00 0.00000000000000000000e+00
4.03092783505154613977e+02 2.01009896040627467073e+00 0.00000000000000000000e+00
4.06185567010309284797e+02 2.00961903070738046040e+00 0.00000000000000000000e+00
4.09278350515463898773e+02 2.00913910100848625007e+00 0.00000000000000000000e+00
4.12371134020618569593e+02 2.00865917130959203973e+00 0.00000000000000000000e+00
4.15463917525773183570e+02 2.00817924161069782940e+00 0.00000000000000000000e+00
4.18556701030927854390e+02 2.00769931191180361907e+00 0.00000000000000000000e+00
4.21649484536082468367e+02 2.00721938221290940874e+00 0.00000000000000000000e+00
4.24742268041237139187e+02 2.00673945251401519840e+00 0.00000000000000000000e+00
4.27835051546391753163e+02 2.00625952281512098807e+00 0.00000000000000000000e+00
4.30927835051546367140e+02 2.00577959311622677774e+00 0.00000000000000000000e+00
4.34020618556701037960e+02 2.00529966341733256741e+00 0.00000000000000000000e+00
4.37113402061855651937e+02 2.00481973371843835707e+00 0.00000000000000000000e+00
4.40206185567010322757e+02 2.00433980401954414674e+00 0.00000000000000000000e+00
4.43298969072164936733e+02 2.00385987432064993641e+00 0.00000000000000000000e+00
4.46391752577319607553e+02 2.00337994462175572608e+00 0.00000000000000000000e+00
4.49484536082474221530e+02 2.00290001492286151574e+00 0.00000000000000000000e+00
4.52577319587628892350e+02 2.00242008522396730541e+00 0.00000000000000000000e+00
4.55670103092783506327e+02 2.00194015552507309508e+00 0.00000000000000000000e+00
4.58762886597938177147e+02 2.00146022582617888474e+00 0.00000000000000000000e+00
4.61855670103092791123e+02 2.00098029612728467441e+00 0.00000000000000000000e+00
4.64948453608247405100e+02 2.00050036642839046408e+00 0.00000000000000000000e+00
4.68041237113402075920e+02 2.00002043672949625375e+00 0.00000000000000000000e+00
4.71134020618556689897e+02 1.99954050703060182137e+00 0.00000000000000000000e+00
4.74226804123711360717e+02 1.99906057733170738899e+00 0.00000000000000000000e+00
4.77319587628865974693e+02 1.99858064763281295662e+00 0.00000000000000000000e+00
4.80412371134020645513e+02 1.99810071793391852424e+00 0.00000000000000000000e+00
4.83505154639175259490e+02 1.99762078823502409186e+00 0.00000000000000000000e+00
4.86597938144329873467e+02 1.99714085853612965948e+00 0.00000000000000000000e+00
4.89690721649484544287e+02 1.99666092883723522711e+00 0.00000000000000000000e+00
4.92783505154639158263e+02 1.99618099913834079473e+00 0.00000000000000000000e+00
4.95876288659793829083e+02 1.99570106943944636235e+00 0.00000000000000000000e+00
4.98969072164948443060e+02 1.99522113974055192998e+00 0.00000000000000000000e+00
5.02061855670103113880e+02 1.99474121004165749760e+00 0.00000000000000000000e+00
5.05154639175257727857e+02 1.99426128034276306522e+00 0.00000000000000000000e+00
5.08247422680412341833e+02 1.99378135064386863284e+00 0.00000000000000000000e+00
5.11340206185567012653e+02 1.99330142094497420047e+00 0.00000000000000000000e+00
5.14432989690721683473e+02 1.99282149124607976809e+00 0.00000000000000000000e+00
5.17525773195876354293e+02 1.99234156154718533571e+00 0.00000000000000000000e+00
5.20618556701030911427e+02 1.99186163184829090333e+00 0.00000000000000000000e+00
5.23711340206185582247e+02 1.99138170214939647096e+00 0.00000000000000000000e+00
5.26804123711340253067e+02 1.99090177245050203858e+00 0.00000000000000000000e+00
5.29896907216494810200e+02 1.99042184275160760620e+00 0.00000000000000000000e+00
5.32989690721649481020e+02 1.98994191305271317383e+00 0.00000000000000000000e+00
5.36082474226804151840e+02 1.98946198335381874145e+00 0.00000000000000000000e+00
5.39175257731958708973e+02 1.98898205365492430907e+00 0.00000000000000000000e+00
5.42268041237113379793e+02 1.98850212395602987669e+00 0.00000000000000000000e+00
5.45360824742268050613e+02 1.98802219425713544432e+00 0.00000000000000000000e+00
5.48453608247422721433e+02 1.98754226455824101194e+00 0.00000000000000000000e+00
5.51546391752577392253e+02 1.98706233485934657956e+00 0.00000000000000000000e+00
5.54639175257731949387e+02 1.98658240516045214719e+00 0.00000000000000000000e+00
5.57731958762886620207e+02 1.98610247546155771481e+00 0.00000000000000000000e+00
5.60824742268041291027e+02 1.98562254576266328243e+00 0.00000000000000000000e+00
5.63917525773195848160e+02 1.98514261606376885005e+00 0.00000000000000000000e+00
5.67010309278350518980e+02 1.98466268636487441768e+00 0.00000000000000000000e+00
5.70103092783505189800e+02 1.98418275666597998530e+00 0.00000000000000000000e+00
5.73195876288659746933e+02 1.98370282696708555292e+00 0.00000000000000000000e+00
5.76288659793814417753e+02 1.98322289726819112055e+00 1.54775093397787125160e-04
5.79381443298969088573e+02 1.98274296756929668817e+00 5.69657169460209642647e-04
5.82474226804123759393e+02 1.98226303787040225579e+00 9.84539245522632160135e-04
5.85567010309278316527e+02 1.98178310817150782341e+00 1.39942132158505467762e-03
