ESTIMATED THICKNESSES

Thickness of film 1 = 170.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 900.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.00000000000000000000e+02 2.01055819120062917449e+00 0.00000000000000000000e+00
4.03092783505154613977e+02 2.01007836387240779175e+00 0.00000000000000000000e+00
4.06185567010309284797e+02 2.00959853654418640900e+00 0.00000000000000000000e+00
4.09278350515463898773e+02 2.00911870921596502626e+00 0.00000000000000000000e+00
4.12371134020618569593e+02 2.00863888188774364352e+00 0.00000000000000000000e+00
4.15463917525773183570e+02 2.00815905455952226077e+00 0.00000000000000000000e+00
4.18556701030927854390e+02 2.00767922723130087803e+00 0.00000000000000000000e+00
4.21649484536082468367e+02 2.00719939990307949529e+00 0.00000000000000000000e+00
4.24742268041237139187e+02 2.00671957257485811255e+00 0.00000000000000000000e+00
4.27835051546391753163e+02 2.00623974524663672980e+00 0.00000000000000000000e+00
4.30927835051546367140e+02 2.00575991791841534706e+00 0.00000000000000000000e+00
4.34020618556701037960e+02 2.00528009059019396432e+00 0.00000000000000000000e+00
4.37113402061855651937e+02 2.00480026326197258157e+00 0.00000000000000000000e+00
4.40206185567010322757e+02 2.00432043593375119883e+00 0.00000000000000000000e+00
4.43298969072164936733e+02 2.00384060860552981609e+00 0.00000000000000000000e+00
4.46391752577319607553e+02 2.00336078127730843335e+00 0.00000000000000000000e+00
4.49484536082474221530e+02 2.00288095394908705060e+00 0.00000000000000000000e+00
4.52577319587628892350e+02 2.00240112662086566786e+00 0.00000000000000000000e+00
4.55670103092783506327e+02 2.00192129929264428512e+00 0.00000000000000000000e+00
4.58762886597938177147e+02 2.00144147196442290237e+00 0.00000000000000000000e+00
4.61855670103092791123e+02 2.00096164463620151963e+00 0.00000000000000000000e+00
4.64948453608247405100e+02 2.00048181730798013689e+00 0.00000000000000000000e+00
4.68041237113402075920e+02 2.00000198997975875415e+00 0.00000000000000000000e+00
4.71134020618556689897e+02 1.99952216265153759345e+00 0.00000000000000000000e+00
4.74226804123711360717e+02 1.99904233532331643275e+00 0.00000000000000000000e+00
4.77319587628865974693e+02 1.99856250799509527205e+00 0.00000000000000000000e+00
4.80412371134020645513e+02 1.99808268066687411135e+00 0.00000000000000000000e+00
4.83505154639175259490e+02 1.99760285333865295065e+00 0.00000000000000000000e+00
4.86597938144329873467e+02 1.99712302601043178996e+00 0.00000000000000000000e+00
4.89690721649484544287e+02 1.99664319868221062926e+00 0.00000000000000000000e+00
4.92783505154639158263e+02 1.99616337135398946856e+00 0.00000000000000000000e+00
4.95876288659793829083e+02 1.99568354402576830786e+00 0.00000000000000000000e+00
4.98969072164948443060e+02 1.99520371669754714716e+00 0.00000000000000000000e+00
5.02061855670103113880e+02 1.99472388936932598646e+00 0.00000000000000000000e+00
5.05154639175257727857e+02 1.99424406204110482577e+00 0.00000000000000000000e+00
5.08247422680412341833e+02 1.99376423471288366507e+00 0.00000000000000000000e+00
5.11340206185567012653e+02 1.99328440738466250437e+00 0.00000000000000000000e+00
5.14432989690721683473e+02 1.99280458005644134367e+00 0.00000000000000000000e+00
5.17525773195876354293e+02 1.99232475272822018297e+00 0.00000000000000000000e+00
5.20618556701030911427e+02 1.99184492539999902228e+00 0.00000000000000000000e+00
5.23711340206185582247e+02 1.99136509807177786158e+00 0.00000000000000000000e+00
5.26804123711340253067e+02 1.99088527074355670088e+00 0.00000000000000000000e+00
5.29896907216494810200e+02 1.99040544341533554018e+00 0.00000000000000000000e+00
5.32989690721649481020e+02 1.98992561608711437948e+00 0.00000000000000000000e+00
5.36082474226804151840e+02 1.98944578875889321878e+00 0.00000000000000000000e+00
5.39175257731958708973e+02 1.98896596143067205809e+00 0.00000000000000000000e+00
5.42268041237113379793e+02 1.98848613410245089739e+00 0.00000000000000000000e+00
5.45360824742268050613e+02 1.98800630677422973669e+00 0.00000000000000000000e+00
5.48453608247422721433e+02 1.98752647944600857599e+00 0.00000000000000000000e+00
5.51546391752577392253e+02 1.98704665211778741529e+00 0.00000000000000000000e+00
5.54639175257731949387e+02 1.98656682478956625459e+00 0.00000000000000000000e+00
5.57731958762886620207e+02 1.98608699746134509390e+00 0.00000000000000000000e+00
5.60824742268041291027e+02 1.98560717013312393320e+00 0.00000000000000000000e+00
5.63917525773195848160e+02 1.98512734280490277250e+00 0.00000000000000000000e+00
5.67010309278350518980e+02 1.98464751547668161180e+00 0.00000000000000000000e+00
5.70103092783505189800e+02 1.98416768814846045110e+00 0.00000000000000000000e+00
5.73195876288659746933e+02 1.98368786082023929040e+00 0.00000000000000000000e+00
5.76288659793814417753e+02 1.98320803349201812971e+00 1.09933624872873489386e-04
5.79381443298969088573e+02 1.98272820616379696901e+00 5.23978910421233224498e-04
5.82474226804123759393e+02 1.98224837883557580831e+00 9.38024195969592959610e-04
5.85567010309278316527e+02 1.98176855150735464761e+00 1.35206948151795269472e-03
5.88659793814432987347e+02 1.98128872417913348691e+00 1.76611476706631242983e-03
5.91752577319587658167e+02 1.98080889685091232622e+00 2.18016005261467216494e-03
5.94845360824742328987e+02 1.98032906952269116552e+00 2.59420533816303190006e-03
5.97938144329896886120e+02 1.97984924219447000482e+00 3.00825062371139163517e-03
6.01030927835051556940e+02 1.97936941486624884412e+00 3.42229590925975137028e-03
6.04123711340206227760e+02 1.97888958753802768342e+00 3.83634119468546398724e-03
6.07216494845360784893e+02 1.97840976020980652272e+00 4.25038648011117660419e-03
6.10309278350515455713e+02 1.97792993288158536203e+00 4.66443176553688922115e-03
6.13402061855670126533e+02 1.97745010555336420133e+00 5.07847705096260183810e-03
6.16494845360824683667e+02 1.97697027822514304063e+00 5.49252233638831445506e-03
6.19587628865979354487e+02 1.97649045089692187993e+00 5.90656762181402707201e-03
6.22680412371134025307e+02 1.97601062356870071923e+00 6.32061290723973968897e-03
6.25773195876288696127e+02 1.97553079624047955853e+00 6.73465819266545230593e-03
6.28865979381443366947e+02 1.97505096891225839784e+00 7.14870347809116492288e-03
6.31958762886597924080e+02 1.97457114158403723714e+00 7.56274876351687753984e-03
6.35051546391752594900e+02 1.97409131425581607644e+00 7.97679404894259015679e-03
6.38144329896907265720e+02 1.97361148692759491574e+00 8.39083933436830277375e-03
