ESTIMATED THICKNESSES

Thickness of film 1 = 157.00 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 701.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.00000000000000000000e+02 2.16264766757911708339e+00 -1.90318393287379553080e-02
4.04697986577181211487e+02 2.16043658459080756273e+00 -1.84526691725473146466e-02
4.09395973154362422974e+02 2.15822550160249804208e+00 -1.78734990163566739851e-02
4.14093959731543634462e+02 2.15601441861418852142e+00 -1.72943288601660333237e-02
4.18791946308724845949e+02 2.15380333562587900076e+00 -1.67151587039753926622e-02
4.23489932885906057436e+02 2.15159225263756948010e+00 -1.61359885477847520008e-02
4.28187919463087268923e+02 2.14938116964925995944e+00 -1.55568183915941096046e-02
4.32885906040268423567e+02 2.14717008666095043878e+00 -1.49776482354034672084e-02
4.37583892617449691897e+02 2.14495900367264091813e+00 -1.43984780792128248122e-02
4.42281879194630846541e+02 2.14274792068433139747e+00 -1.38193079230221824161e-02
4.46979865771812058028e+02 2.14053683769602187681e+00 -1.32401377668315400199e-02
4.51677852348993269516e+02 2.13832575470771235615e+00 -1.26609676106408976237e-02
4.56375838926174481003e+02 2.13611467171940283549e+00 -1.20817974544502552275e-02
4.61073825503355692490e+02 2.13390358873109331483e+00 -1.15026272982596128314e-02
4.65771812080536903977e+02 2.13169250574278379418e+00 -1.09234571420689704352e-02
4.70469798657718115464e+02 2.12948142275447427352e+00 -1.03442869858783280390e-02
4.75167785234899326952e+02 2.12727033976616475286e+00 -9.76511682968768564284e-03
4.79865771812080538439e+02 2.12505925677785523220e+00 -9.18594667349704324666e-03
4.84563758389261749926e+02 2.12284817378954571154e+00 -8.62607803466427722205e-03
4.89261744966442961413e+02 2.12063709080123619088e+00 -8.06620939583151119745e-03
4.93959731543624172900e+02 2.11842600781292667023e+00 -7.50634075699874517285e-03
4.98657718120805384387e+02 2.11621492482461714957e+00 -6.94647211816597914824e-03
5.03355704697986539031e+02 2.11400384183630762891e+00 -6.38660347933321312364e-03
5.08053691275167807362e+02 2.11179275884799810825e+00 -5.82673484050044709903e-03
5.12751677852348962006e+02 2.10958167585968858759e+00 -5.26686620166768107443e-03
5.17449664429530230336e+02 2.10737059287137906693e+00 -4.70699756283491504982e-03
5.22147651006711384980e+02 2.10515950988306954628e+00 -4.14712892400214902522e-03
5.26845637583892653311e+02 2.10294842689476002562e+00 -3.58726028516938300061e-03
5.31543624161073807954e+02 2.10073734390645050496e+00 -3.02739164633661697601e-03
5.36241610738255076285e+02 2.09852626091814098430e+00 -2.46752300750385095141e-03
5.40939597315436230929e+02 2.09631517792983146364e+00 -1.90765436867108492680e-03
5.45637583892617385573e+02 2.09410409494152194299e+00 -1.34778572983831890220e-03
5.50335570469798653903e+02 2.09189301195321242233e+00 -7.87917091005552877592e-04
5.55033557046979922234e+02 2.08968192896490290167e+00 -2.28048452172786852987e-04
5.59731543624161076877e+02 2.08773621805691789177e+00 3.31820186659979171617e-04
5.64429530201342231521e+02 2.08579050714893288188e+00 8.91688825492745196222e-04
5.69127516778523499852e+02 2.08384479624094787198e+00 1.45155746432551122083e-03
5.73825503355704654496e+02 2.08189908533296286208e+00 2.01142610315827724543e-03
5.78523489932885922826e+02 2.07995337442497785219e+00 2.57129474199104327004e-03
5.83221476510067077470e+02 2.07800766351699284229e+00 3.13116338082380929464e-03
5.87919463087248345801e+02 2.07606195260900783239e+00 3.69103201965657531924e-03
5.92617449664429500444e+02 2.07411624170102282250e+00 4.25090065848934134385e-03
5.97315436241610768775e+02 2.07217053079303781260e+00 4.81076929732210736845e-03
6.02013422818791923419e+02 2.07022481988505280270e+00 5.37063793615487339306e-03
6.06711409395973078063e+02 2.06827910897706779281e+00 5.93050657498763941766e-03
6.11409395973154346393e+02 2.06633339806908278291e+00 6.49037521382040544227e-03
6.16107382550335614724e+02 2.06438768716109777301e+00 7.05024385265317146687e-03
6.20805369127516769368e+02 2.06244197625311276312e+00 7.61011249148593749148e-03
6.25503355704697924011e+02 2.06049626534512775322e+00 8.16998113031870351608e-03
6.30201342281879192342e+02 2.05855055443714274332e+00 8.72984976915146954068e-03
6.34899328859060460672e+02 2.05660484352915773343e+00 9.28971840798423556529e-03
6.39597315436241615316e+02 2.05465913262117272353e+00 9.84958704681700158989e-03
6.44295302013422769960e+02 2.05271342171318771364e+00 1.04094556856497676145e-02
6.48993288590604038291e+02 2.05076771080520270374e+00 1.09693243244825336391e-02
6.53691275167785192934e+02 2.04882199989721769384e+00 1.15291929633152996637e-02
6.58389261744966461265e+02 2.04687628898923268395e+00 1.20890616021480656883e-02
6.63087248322147615909e+02 2.04493057808124767405e+00 1.26489302409808317129e-02
6.67785234899328770553e+02 2.04298486717326266415e+00 1.32087988798135977375e-02
6.72483221476510038883e+02 2.04103915626527765426e+00 1.37686675186463637621e-02
6.77181208053691307214e+02 2.03909344535729264436e+00 1.43285361574791297867e-02
6.81879194630872461858e+02 2.03714773444930763446e+00 1.48884047963118958113e-02
6.86577181208053616501e+02 2.03520202354132262457e+00 1.54482734351446618359e-02
6.91275167785234884832e+02 2.03325631263333761467e+00 1.60081420739774278605e-02
6.95973154362416153162e+02 2.03131060172535260477e+00 1.65680107128101938851e-02
7.00671140939597307806e+02 2.02936489081736759488e+00 1.71278793516429599098e-02
7.05369127516778462450e+02 2.02741917990938258498e+00 1.76877479904757259344e-02
7.10067114093959730781e+02 2.02547346900139757508e+00 1.73101105112363172489e-02
7.14765100671140999111e+02 2.02352775809341256519e+00 1.69324730319969085635e-02
7.19463087248322153755e+02 2.02158204718542755529e+00 1.65548355527574998780e-02
7.24161073825503308399e+02 2.01963633627744254539e+00 1.61771980735180911926e-02
7.28859060402684576729e+02 2.01769062536945753550e+00 1.57995605942786825071e-02
7.33557046979865845060e+02 2.01574491446147252560e+00 1.54219231150392720869e-02
7.38255033557046999704e+02 2.01379920355348751571e+00 1.50442856357998616668e-02
7.42953020134228154348e+02 2.01185349264550250581e+00 1.46666481565604512466e-02
7.47651006711409308991e+02 2.00990778173751749591e+00 1.42890106773210408264e-02
7.52348993288590577322e+02 2.00796207082953248602e+00 1.39113731980816304062e-02
7.57046979865771845652e+02 2.00601635992154747612e+00 1.35337357188422199861e-02
7.61744966442953000296e+02 2.00407064901356246622e+00 1.31560982396028095659e-02
7.66442953020134154940e+02 2.00212493810557745633e+00 1.27784607603633991457e-02
7.71140939597315423271e+02 2.00017922719759244643e+00 1.24008232811239887255e-02
7.75838926174496691601e+02 1.99823351628960721449e+00 1.20231858018845783054e-02
7.80536912751677846245e+02 1.99628780538162220459e+00 1.16455483226451678852e-02
7.85234899328859000889e+02 1.99434209447383881120e+00 1.12679108434057574650e-02
7.89932885906040269219e+02 1.99239638356605541780e+00 1.08902733641663470449e-02
7.94630872483221537550e+02 1.99045067265827202441e+00 1.05126358849269366247e-02
7.99328859060402692194e+02 1.98975155594670671810e+00 1.01349984056875262045e-02
8.04026845637583846838e+02 1.98905243923514141180e+00 9.75736092644811578434e-03
8.08724832214765115168e+02 1.98835332252357610550e+00 9.37972344720870536416e-03
8.13422818791946269812e+02 1.98765420581201079919e+00 9.00208596796929494399e-03
8.18120805369127538142e+02 1.98695508910044549289e+00 8.62444848872988452382e-03
8.22818791946308692786e+02 1.98625597238888018659e+00 8.24681100949047410364e-03
8.27516778523489847430e+02 1.98555685567731488028e+00 7.86917353025106368347e-03
8.32214765100671115761e+02 1.98485773896574957398e+00 7.49153605101165326330e-03
8.36912751677852384091e+02 1.98415862225418426767e+00 7.11389857177224284313e-03
8.41610738255033538735e+02 1.98345950554261896137e+00 6.73626109253283242295e-03
8.46308724832214693379e+02 1.98276038883105365507e+00 6.35862361329342200278e-03
8.51006711409395961709e+02 1.98206127211948834876e+00 5.98098613405401158261e-03
8.55704697986577230040e+02 1.98136215540792304246e+00 5.60334865481460116243e-03
8.60402684563758384684e+02 1.98066303869635773616e+00 5.22571117557519074226e-03
8.65100671140939539328e+02 1.97996392198479242985e+00 4.84807369633578032209e-03
8.69798657718120807658e+02 1.97996392198479242985e+00 4.47043621709636990191e-03
8.74496644295302075989e+02 1.97996392198479242985e+00 4.09279873785695948174e-03
8.79194630872483230632e+02 1.97996392198479242985e+00 3.71516125861754906157e-03
8.83892617449664385276e+02 1.97996392198479242985e+00 3.33752377937813864139e-03
8.88590604026845653607e+02 1.97996392198479242985e+00 2.95988630013872822122e-03
8.93288590604026808251e+02 1.97996392198479242985e+00 2.58224882089931780105e-03
8.97986577181208076581e+02 1.97996392198479242985e+00 2.21335613219941513413e-03
9.02684563758389231225e+02 1.97996392198479242985e+00 1.84446344349951246722e-03
9.07382550335570385869e+02 1.97996392198479242985e+00 1.47557075479961001714e-03
9.12080536912751654199e+02 1.97996392198479242985e+00 1.10667806609970756707e-03
9.16778523489932922530e+02 1.97996392198479242985e+00 7.37785377399805116991e-04
9.21476510067114077174e+02 1.97996392198479242985e+00 3.68892688699902558495e-04
9.26174496644295231818e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.30872483221476500148e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.35570469798657654792e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.40268456375838923123e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.44966442953020077766e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.49664429530201346097e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.54362416107382500741e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.59060402684563769071e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.63758389261744923715e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.68456375838926192046e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.73154362416107346689e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.77852348993288615020e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.82550335570469769664e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.87248322147651037994e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.91946308724832192638e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
9.96644295302013460969e+02 1.97996392198479242985e+00 5.73861539593153605848e-260
1.00134228187919461561e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.00604026845637577026e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.01073825503355703859e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.01543624161073819323e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.02013422818791946156e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.02483221476510061621e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.02953020134228199822e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.03422818791946292549e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.03892617449664430751e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.04362416107382546215e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.04832214765100661680e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.05302013422818799881e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.05771812080536915346e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.06241610738255030810e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.06711409395973169012e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.07181208053691261739e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.07651006711409399941e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.08120805369127515405e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.08590604026845630870e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.09060402684563769071e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.09530201342281861798e+03 1.97996392198479242985e+00 5.73861539593153605848e-260
1.10000000000000000000e+03 1.97996392198479242985e+00 5.73861539593153605848e-260


TRANSMITTANCE WITH THE ESTIMATED THICKNESSES AND OPTICAL PARAMETERS

lambda                     t
4.00000000000000000000e+02 8.45247288297777066290e-01
4.04697986577181211487e+02 8.30163363115022479022e-01
4.09395973154362422974e+02 8.16836278222509371005e-01
4.14093959731543634462e+02 8.05220412037578658904e-01
4.18791946308724845949e+02 7.95248866258288611419e-01
4.23489932885906057436e+02 7.86841260799246433599e-01
4.28187919463087268923e+02 7.79909391010244701370e-01
4.32885906040268423567e+02 7.74361223819605370977e-01
4.37583892617449691897e+02 7.70103636201784791382e-01
4.42281879194630846541e+02 7.67044222702549016724e-01
4.46979865771812058028e+02 7.65092428717393802096e-01
4.51677852348993269516e+02 7.64160206742807046609e-01
4.56375838926174481003e+02 7.64162344537422266733e-01
4.61073825503355692490e+02 7.65016576086112731758e-01
4.65771812080536903977e+02 7.66643556887235955166e-01
4.70469798657718115464e+02 7.68966762714623608410e-01
4.75167785234899326952e+02 7.71912354118204357967e-01
4.79865771812080538439e+02 7.75409036232599824245e-01
4.84563758389261749926e+02 7.79447289811992516384e-01
4.89261744966442961413e+02 7.83902111232719467360e-01
4.93959731543624172900e+02 7.88709306216485162011e-01
4.98657718120805384387e+02 7.93806879556914313234e-01
5.03355704697986539031e+02 7.99135054071387074259e-01
5.08053691275167807362e+02 8.04636326003890678393e-01
5.12751677852348962006e+02 8.10255552698119996258e-01
5.17449664429530230336e+02 8.15940066939646602151e-01
5.22147651006711384980e+02 8.21639811355602378562e-01
5.26845637583892653311e+02 8.27307485616795679206e-01
5.31543624161073807954e+02 8.32898698880868759709e-01
5.36241610738255076285e+02 8.38372119922054737096e-01
5.40939597315436230929e+02 8.43689617689151738489e-01
5.45637583892617385573e+02 8.48816385590544064677e-01
5.50335570469798653903e+02 8.53721043589151351583e-01
5.55033557046979922234e+02 8.58375713160249298461e-01
5.59731543624161076877e+02 8.62646174914010299695e-01
5.64429530201342231521e+02 8.66634437686969905101e-01
5.69127516778523499852e+02 8.70323786289031398056e-01
5.73825503355704654496e+02 8.73700757153700435786e-01
5.78523489932885922826e+02 8.76755051339500046659e-01
5.83221476510067077470e+02 8.79479418777881938318e-01
5.87919463087248345801e+02 8.81869516228426575388e-01
5.92617449664429500444e+02 8.83923742032898585030e-01
5.97315436241610768775e+02 8.85643051234564659957e-01
6.02013422818791923419e+02 8.87030754943860855199e-01
6.06711409395973078063e+02 8.88092307989652218758e-01
6.11409395973154346393e+02 8.88835088907343306985e-01
6.16107382550335614724e+02 8.89268176196612025741e-01
6.20805369127516769368e+02 8.89402124552358563925e-01
6.25503355704697924011e+02 8.89248744454429140838e-01
6.30201342281879192342e+02 8.88820888117816898522e-01
6.34899328859060460672e+02 8.88132244377837443139e-01
6.39597315436241615316e+02 8.87197144635260670498e-01
6.44295302013422769960e+02 8.86030381533343125433e-01
6.48993288590604038291e+02 8.84647041598127348294e-01
6.53691275167785192934e+02 8.83062352658155913510e-01
6.58389261744966461265e+02 8.81291546479584742002e-01
6.63087248322147615909e+02 8.79349736714346463806e-01
6.67785234899328770553e+02 8.77251811966401007226e-01
6.72483221476510038883e+02 8.75012343535798375882e-01
6.77181208053691307214e+02 8.72645507201763814820e-01
6.81879194630872461858e+02 8.70165018252213151584e-01
6.86577181208053616501e+02 8.67584078854808593562e-01
6.91275167785234884832e+02 8.64915336789766397985e-01
6.95973154362416153162e+02 8.62170854522587903901e-01
7.00671140939597307806e+02 8.59362087581009181925e-01
