ESTIMATED THICKNESSES

Thickness of film 1 = 167.40 nm

ESTIMATED INFLEXION POINTS

Inflexion point of the absorption coefficient of film 1 = 825.00 nm

ESTIMATED REFRACTIVE INDICES AND ABSORPTION COEFFICIENTS

Film 1

lambda                     n                          kappa
4.50000000000000000000e+02 2.02871455214462592664e+00 0.00000000000000000000e+00
4.53691275167785249778e+02 2.02748334515212969009e+00 0.00000000000000000000e+00
4.57382550335570442712e+02 2.02625213815963345354e+00 0.00000000000000000000e+00
4.61073825503355692490e+02 2.02502093116713721699e+00 0.00000000000000000000e+00
4.64765100671140942268e+02 2.02378972417464098044e+00 0.00000000000000000000e+00
4.68456375838926192046e+02 2.02255851718214474388e+00 0.00000000000000000000e+00
4.72147651006711384980e+02 2.02132731018964850733e+00 0.00000000000000000000e+00
4.75838926174496634758e+02 2.02009610319715227078e+00 0.00000000000000000000e+00
4.79530201342281884536e+02 2.01886489620465603423e+00 0.00000000000000000000e+00
4.83221476510067134313e+02 2.01763368921216024177e+00 0.00000000000000000000e+00
4.86912751677852327248e+02 2.01640248221966444930e+00 0.00000000000000000000e+00
4.90604026845637577026e+02 2.01517127522716865684e+00 0.00000000000000000000e+00
4.94295302013422826803e+02 2.01394006823467286438e+00 0.00000000000000000000e+00
4.97986577181208076581e+02 2.01270886124217707192e+00 0.00000000000000000000e+00
5.01677852348993269516e+02 2.01147765432381353534e+00 0.00000000000000000000e+00
5.05369127516778519293e+02 2.01024644740544999877e+00 0.00000000000000000000e+00
5.09060402684563769071e+02 2.00901524048708646220e+00 0.00000000000000000000e+00
5.12751677852348962006e+02 2.00778403356872292562e+00 0.00000000000000000000e+00
5.16442953020134268627e+02 2.00655282665035938905e+00 0.00000000000000000000e+00
5.20134228187919461561e+02 2.00534878919532921770e+00 0.00000000000000000000e+00
5.23825503355704654496e+02 2.00414475174029904636e+00 0.00000000000000000000e+00
5.27516778523489961117e+02 2.00294071428526887502e+00 0.00000000000000000000e+00
5.31208053691275154051e+02 2.00173667683023870367e+00 0.00000000000000000000e+00
5.34899328859060460672e+02 2.00053263937520853233e+00 0.00000000000000000000e+00
5.38590604026845653607e+02 2.00045040765526005444e+00 0.00000000000000000000e+00
5.42281879194630846541e+02 2.00036817593531157655e+00 0.00000000000000000000e+00
5.45973154362416153162e+02 2.00028594421536309866e+00 0.00000000000000000000e+00
5.49664429530201346097e+02 2.00020371249541462078e+00 0.00000000000000000000e+00
5.53355704697986539031e+02 2.00012148077546614289e+00 0.00000000000000000000e+00
5.57046979865771845652e+02 2.00004022283692917128e+00 0.00000000000000000000e+00
5.60738255033557038587e+02 1.99995896489839219967e+00 0.00000000000000000000e+00
5.64429530201342231521e+02 1.99987770695985522806e+00 0.00000000000000000000e+00
5.68120805369127538142e+02 1.99979644902131825646e+00 0.00000000000000000000e+00
5.71812080536912731077e+02 1.99971519108278128485e+00 0.00000000000000000000e+00
5.75503355704697924011e+02 1.99963393314525506028e+00 0.00000000000000000000e+00
